like1,parlogA,parlogK,parw,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,chain
-61.50257,0.19864702,-1.288097,2.4566827,0.0,-0.31548843,-0.46857166,-0.5093718,-0.47944412,-0.4108676,-0.32671365,-0.2422785,-0.16663735,-0.10422357,0.0,-1.2147704,0.034455054,0.7173731,-0.04072204,-0.4230611,0.036080305,0.24915238,-0.028402781,-0.14652981,0.0,-0.9588347,0.90568745,-0.28848243,-0.26308307,0.41909373,-0.2402905,-0.020858215,0.16179703,-0.14049435,0.0,-0.48890007,0.6883567,-0.68007624,0.5504697,-0.37288406,0.19949126,-0.060374014,-0.03296367,0.08211383,0.0,0.0050485698,-0.0077645388,0.008956158,-0.009182749,0.008826582,-0.008144813,0.007306892,-0.006421359,0.0055549387,0.0
-42.366894,-0.11124987,-2.4167995,1.8008509,0.0,-0.2491636,-0.14825498,-0.04034013,0.004482233,0.0104177445,0.005337473,0.0011742349,-0.0003268355,-0.00042008274,0.0,-0.33927336,0.0012959427,0.06518149,-0.00049797416,-0.012521773,0.00014350865,0.0024053282,-3.6760874e-05,-0.00046200838,0.0,-0.29798794,0.12489747,0.0049050255,-0.026053105,0.009977364,0.0008238527,-0.0022623115,0.0007899249,0.00010358432,0.0,-0.21208116,0.1451224,-0.058555696,0.012185195,0.0029125682,-0.004334213,0.0024061976,-0.0008137511,9.451581e-05,0.0,-0.1111613,0.092072114,-0.054902997,0.027784457,-0.012464357,0.0049855346,-0.0017345486,0.00047878514,-6.3297426e-05,1.0
-63.21603,0.33089224,-1.5689417,2.8154993,0.0,-0.55031425,-0.6906421,-0.613753,-0.4527435,-0.286026,-0.15081832,-0.05777951,-0.0031762219,0.02257726,0.0,-1.4359549,0.2939765,0.5999778,-0.25798273,-0.22301663,0.1642615,0.06890059,-0.08962287,-0.013328102,0.0,-0.97627217,0.9803159,-0.53554755,0.087077856,0.15877274,-0.19946334,0.12729575,-0.036122244,-0.02225076,0.0,-0.30202612,0.40062037,-0.39254725,0.33651125,-0.26589423,0.19798663,-0.1403764,0.09517938,-0.06171371,0.0,0.3406521,-0.44906887,0.43538007,-0.3674914,0.28428954,-0.20581865,0.14062445,-0.09075737,0.0549917,2.0
-40.967903,-0.2290657,-2.7013612,1.5298557,0.0,-0.17874965,-0.06141627,0.0005744491,0.007645112,0.0025571086,-4.8504004e-05,-0.00032675712,-0.00010638796,3.0710573e-06,0.0,-0.20518795,0.00783038,0.02458361,-0.0018877225,-0.00290913,0.00033993577,0.00033980748,-5.4190565e-05,-3.9139257e-05,0.0,-0.1830399,0.057947006,0.00385168,-0.008246402,0.0021435765,0.0003213965,-0.00036169222,7.553033e-05,1.9949674e-05,0.0,-0.14062007,0.07141646,-0.019217644,0.001099604,0.0017720034,-0.0010332894,0.00030989014,-3.207993e-05,-2.1286925e-05,0.0,-0.08981261,0.05626111,-0.02435226,0.008432342,-0.0023291388,0.00043647637,9.025666e-06,-5.8583908e-05,3.5604076e-05,3.0
-49.900333,0.03920634,-2.1116166,1.2069788,0.0,-0.31133443,-0.34426665,-0.2603194,-0.15476073,-0.07049059,-0.018115895,0.0072197495,0.014987104,0.013781224,0.0,-0.63352233,-0.2876838,0.11428407,0.16311617,0.029888783,-0.049488705,-0.034028027,0.003680302,0.014826584,0.0,-0.67952776,0.04555432,0.25965384,-0.035018183,-0.0980355,0.020110272,0.036552697,-0.0102251265,-0.013445923,0.0,-0.6292841,0.29788527,0.1022729,-0.16357654,0.037893455,0.045301557,-0.03609421,-0.00042775704,0.014156633,0.0,-0.5303267,0.4132688,-0.11702272,-0.06857857,0.09868275,-0.050388,0.0011148762,0.018611379,-0.014934343,4.0
-41.03413,-0.37070486,-1.8032631,2.1461833,0.0,-0.11738815,-0.13594124,-0.10915165,-0.07049818,-0.036752585,-0.01356947,-0.0005998965,0.004885629,0.0059045004,0.0,-0.27289638,-0.013969538,0.1115114,0.011453121,-0.04527191,-0.007027471,0.018257983,0.0038246168,-0.0073126713,0.0,-0.233106,0.15578707,-0.008251021,-0.05855197,0.042524032,-0.0043401932,-0.014587082,0.011533563,-0.0017091711,0.0,-0.14635888,0.15848517,-0.111427225,0.05548353,-0.014256943,-0.0073789936,0.013853422,-0.011966669,0.0072610336,0.0,-0.04839234,0.061084177,-0.057203725,0.047086127,-0.0359108,0.025965307,-0.01800718,0.012051884,-0.007807415,5.0
-52.69776,0.43700472,-2.7995179,1.41945,0.0,-0.795871,-0.21415877,0.024157528,0.02850777,0.005188613,-0.0015333123,-0.00094578473,-9.6933116e-05,7.110683e-05,0.0,-0.8742715,0.04286559,0.08773979,-0.008706821,-0.0085893795,0.0013158643,0.0008181409,-0.00017533374,-7.54768e-05,0.0,-0.7848239,0.22438785,0.0164953,-0.02777459,0.00624591,0.0010684005,-0.0009473042,0.0001610519,5.130032e-05,0.0,-0.61988807,0.28108346,-0.06375446,2.440074e-05,0.006540443,-0.0029682205,0.0006738107,-5.153402e-07,-6.900815e-05,0.0,-0.42124045,0.23686308,-0.089900546,0.026210569,-0.005499858,0.0003991259,0.00034074578,-0.0002326158,9.578406e-05,0.0
-55.668407,0.37963182,-2.4167995,1.8008509,0.0,-0.7715539,-0.45908275,-0.124916255,0.013879573,0.032259334,0.016527887,0.0036361073,-0.0010120708,-0.0013008179,0.0,-1.0505856,0.004012984,0.2018394,-0.0015420145,-0.038774613,0.00044438537,0.0074482807,-0.00011383282,-0.001430644,0.0,-0.92274225,0.38675445,0.0151887825,-0.08067541,0.030895662,0.002551122,-0.007005419,0.0024460622,0.0003207567,0.0,-0.65672535,0.44938245,-0.18132214,0.037732378,0.009018987,-0.013421219,0.0074509727,-0.0025198418,0.00029267537,0.0,-0.34421936,0.28510827,-0.17001128,0.086036675,-0.038596824,0.015438085,-0.005371161,0.0014825943,-0.00019600526,1.0
-72.29068,0.33089224,-1.2496295,2.5626674,0.0,-0.42073277,-0.6296595,-0.6905241,-0.6565692,-0.5693252,-0.45907998,-0.34630528,-0.24351142,-0.15716857,0.0,-1.6552836,0.12923636,0.98060477,-0.15390933,-0.57488,0.13699925,0.33337215,-0.108022735,-0.1910909,0.0,-1.259466,1.2667322,-0.52024406,-0.23489964,0.54762334,-0.4101942,0.08480559,0.16020827,-0.2118891,0.0,-0.5792235,0.8396993,-0.87064266,0.75960517,-0.5801146,0.38636386,-0.21290974,0.0774143,0.015200098,0.0,0.116493575,-0.17980026,0.20778805,-0.21309607,0.2045378,-0.18815179,0.16798323,-0.14666148,0.1258237,2.0
-40.967903,-0.2290657,-2.7013612,1.5298557,0.0,-0.17874965,-0.06141627,0.0005744491,0.007645112,0.0025571086,-4.8504004e-05,-0.00032675712,-0.00010638796,3.0710573e-06,0.0,-0.20518795,0.00783038,0.02458361,-0.0018877225,-0.00290913,0.00033993577,0.00033980748,-5.4190565e-05,-3.9139257e-05,0.0,-0.1830399,0.057947006,0.00385168,-0.008246402,0.0021435765,0.0003213965,-0.00036169222,7.553033e-05,1.9949674e-05,0.0,-0.14062007,0.07141646,-0.019217644,0.001099604,0.0017720034,-0.0010332894,0.00030989014,-3.207993e-05,-2.1286925e-05,0.0,-0.08981261,0.05626111,-0.02435226,0.008432342,-0.0023291388,0.00043647637,9.025666e-06,-5.8583908e-05,3.5604076e-05,3.0
