like1,parlogA,parlogK,parw,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,chain
-79.40665,0.33089224,-1.5689417,1.2069788,0.0,-0.41805303,-0.62743455,-0.69034463,-0.6588799,-0.57383347,-0.46510872,-0.3530605,-0.25026003,-0.16333714,0.0,-1.500722,-0.9977957,0.23884572,0.75869316,0.36084,-0.21622378,-0.36070478,-0.10982728,0.14383963,0.0,-1.6611333,0.009235728,0.9986476,-0.011105037,-0.60034055,0.0100143505,0.3608783,-0.008027227,-0.21692096,0.0,-1.5609965,0.8278125,0.49949765,-0.76258236,0.104099564,0.40327117,-0.27644512,-0.09585115,0.21703391,0.0,-1.3312709,1.2347771,-0.34489673,-0.4224692,0.5992048,-0.30177793,-0.08034684,0.25595665,-0.1890985,0.0
-43.178394,0.03920634,-2.7013612,1.5298557,0.0,-0.33152574,-0.11390832,0.0010654267,0.014179336,0.0047426517,-8.996004e-05,-0.0006060341,-0.00019731701,5.695869e-06,0.0,-0.38056067,0.014522952,0.04559505,-0.003501146,-0.0053955433,0.0006304765,0.0006302386,-0.00010050686,-7.259131e-05,0.0,-0.33948284,0.10747391,0.007143684,-0.015294545,0.0039756764,0.00059609185,-0.00067082804,0.0001400856,3.7000522e-05,0.0,-0.26080707,0.13245562,-0.035642833,0.0020394279,0.0032865223,-0.0019164346,0.00057475106,-5.9498427e-05,-3.9480714e-05,0.0,-0.16657482,0.104347095,-0.045165967,0.015639406,-0.0043198373,0.00080952974,1.6739841e-05,-0.000108655164,6.6034634e-05,1.0
-40.54655,-0.37070486,-2.1116166,2.8154993,0.0,-0.1367966,-0.09904273,-0.039667763,-0.0055221613,0.0052928943,0.0051255384,0.0024712582,0.0005887188,-0.00015257936,0.0,-0.1993252,0.049109314,0.034586687,-0.02002382,-0.0031674993,0.0054703993,-0.0006058905,-0.001132004,0.00042081292,0.0,-0.1263917,0.09663705,-0.04428354,0.011224061,0.001790396,-0.0039978176,0.0026373186,-0.0010800785,0.00020809537,0.0,-0.029998507,0.0287272,-0.02048349,0.012886907,-0.0075431103,0.004205057,-0.0022600966,0.0011794034,-0.0006000595,0.0,0.05930915,-0.05497898,0.037073515,-0.021489546,0.0112371985,-0.005383468,0.002358433,-0.00092532294,0.0003053706,2.0
-44.139736,-0.11124987,-1.8032631,2.1461833,0.0,-0.21334343,-0.24706213,-0.19837424,-0.12812471,-0.066794835,-0.024661409,-0.0010902631,0.008879233,0.010730949,0.0,-0.49596697,-0.0253885,0.20266291,0.020815115,-0.08227801,-0.012771857,0.0331824,0.00695093,-0.0132901855,0.0,-0.42365122,0.28313032,-0.014995558,-0.10641345,0.07728397,-0.007887948,-0.026510835,0.020961313,-0.0031062795,0.0,-0.26599535,0.2880339,-0.20250992,0.100836806,-0.025910834,-0.013410721,0.02517747,-0.021748448,0.013196338,0.0,-0.08794915,0.11101553,-0.10396312,0.08557521,-0.06526496,0.047189835,-0.032726586,0.021903321,-0.014189342,3.0
-40.882404,-0.2290657,-2.4167995,2.4566827,0.0,-0.18491007,-0.08055704,-0.0081656175,0.008174574,0.0047505,0.00087907165,-0.0003088695,-0.00026258468,-6.941402e-05,0.0,-0.2171038,0.044030976,0.022688076,-0.01101386,-0.0010704617,0.0018211105,-0.00021344345,-0.0002219298,7.609469e-05,0.0,-0.14928778,0.08530881,-0.027007151,0.003008936,0.0022137787,-0.0017032468,0.0006508963,-0.00012389406,-2.3995777e-05,0.0,-0.058103494,0.042845692,-0.02313261,0.010818201,-0.004608444,0.001822766,-0.00067295996,0.00023078319,-7.217333e-05,0.0,0.030944895,-0.023394478,0.013179654,-0.0065568094,0.0030375514,-0.0013414979,0.00057180296,-0.00023691582,9.5834584e-05,4.0
-69.37114,0.19864702,-1.288097,1.8008509,0.0,-0.2813801,-0.43810123,-0.50265926,-0.50322425,-0.46293145,-0.39983636,-0.32729602,-0.25459215,-0.18765734,0.0,-1.234003,-0.41110125,0.6500395,0.47874027,-0.2550784,-0.39029852,0.03265257,0.25979415,0.06572453,0.0,-1.1894002,0.63406026,0.42053708,-0.6285623,0.066880815,0.36521715,-0.2373483,-0.106391676,0.20808744,0.0,-0.91073394,1.006746,-0.53205204,-0.053918168,0.39892298,-0.4065918,0.19503945,0.043706223,-0.17270188,0.0,-0.54685456,0.7871365,-0.7842347,0.62681603,-0.40208003,0.1789925,-0.0012099725,-0.11241232,0.16257674,5.0
-41.623444,-0.19064648,-2.435921,1.7881373,0.0,-0.20724659,-0.11939754,-0.030173074,0.0048626196,0.008423163,0.003946711,0.0007043791,-0.00032953513,-0.00032108708,0.0,-0.27826828,0.0020281654,0.051831193,-0.0007556536,-0.009651499,0.00021113594,0.0017966947,-5.2433363e-05,-0.00033437173,0.0,-0.24440724,0.10088452,0.003894776,-0.020404106,0.007696587,0.00062468444,-0.0016918536,0.0005819611,7.5002856e-05,0.0,-0.17450307,0.11734658,-0.046398237,0.009337418,0.0023657044,-0.00333056,0.0017989031,-0.0005891546,6.101835e-05,0.0,-0.092358,0.07521219,-0.044041585,0.021852208,-0.009589776,0.003738054,-0.0012573687,0.0003274831,-3.2418917e-05,0.0
-41.11881,-0.19916083,-2.7013612,1.5298557,0.0,-0.19149177,-0.065794304,0.0006153985,0.008190091,0.002739391,-5.1961597e-05,-0.00035004987,-0.00011397179,3.2899766e-06,0.0,-0.2198147,0.008388567,0.026336044,-0.0020222883,-0.0031165062,0.00036416797,0.00036403054,-5.805352e-05,-4.1929285e-05,0.0,-0.19608784,0.062077735,0.0041262456,-0.008834245,0.0022963807,0.00034430713,-0.00038747533,8.091449e-05,2.137178e-05,0.0,-0.15064412,0.07650736,-0.020587567,0.0011779888,0.0018983199,-0.0011069471,0.00033198055,-3.4366738e-05,-2.2804357e-05,0.0,-0.09621487,0.060271665,-0.0260882,0.009033438,-0.0024951706,0.00046759043,9.669058e-06,-6.276004e-05,3.81421e-05,1.0
-40.587326,-0.37070486,-2.0888932,2.6689227,0.0,-0.13592619,-0.10547889,-0.047542986,-0.010269766,0.004030849,0.0057201087,0.0034213956,0.0012112098,7.631483e-05,0.0,-0.20961678,0.042254254,0.04439127,-0.019613614,-0.007251,0.0064122677,0.00053763017,-0.0017268783,0.00021239987,0.0,-0.14282341,0.106858134,-0.04389982,0.00587334,0.0066863014,-0.006485055,0.00316434,-0.00073063147,-0.00025205634,0.0,-0.048664067,0.04761633,-0.034307983,0.021550618,-0.012427045,0.006719956,-0.0034385975,0.001668398,-0.00076455006,0.0,0.041983727,-0.04136533,0.030159038,-0.019273896,0.011377637,-0.006345177,0.0033799163,-0.0017285623,0.0008499857,2.0
-44.139736,-0.11124987,-1.8032631,2.1461833,0.0,-0.21334343,-0.24706213,-0.19837424,-0.12812471,-0.066794835,-0.024661409,-0.0010902631,0.008879233,0.010730949,0.0,-0.49596697,-0.0253885,0.20266291,0.020815115,-0.08227801,-0.012771857,0.0331824,0.00695093,-0.0132901855,0.0,-0.42365122,0.28313032,-0.014995558,-0.10641345,0.07728397,-0.007887948,-0.026510835,0.020961313,-0.0031062795,0.0,-0.26599535,0.2880339,-0.20250992,0.100836806,-0.025910834,-0.013410721,0.02517747,-0.021748448,0.013196338,0.0,-0.08794915,0.11101553,-0.10396312,0.08557521,-0.06526496,0.047189835,-0.032726586,0.021903321,-0.014189342,3.0
